ID_REF,GSM6826,GSM6829,GSM6830,GSM6831
D50918_at,20.0,20.0,20.0,20.0
D50919_at,20.0,20.0,20.0,20.0
D50920_at,971.0,1303.0,20.0,1429.0
D50922_at,2848.0,2205.0,20.0,1853.0
D50923_at,20.0,20.0,20.0,20.0
D50924_at,829.0,791.0,20.0,381.0
D50925_at,519.0,1361.0,20.0,20.0
D50926_at,845.0,416.0,1091.0,651.0
D50927_at,1050.0,408.0,945.0,1097.0
D50928_at,3683.0,866.0,3410.0,558.0
D50930_at,2518.0,4607.0,808.0,2506.0
D50931_at,20.0,20.0,20.0,20.0
D55638_at,1399.0,20.0,3669.0,1942.0
D55640_at,1038.0,2550.0,4422.0,3867.0
D55643_s_at,245.0,265.0,20.0,767.0
D55654_at,12348.0,6885.0,12761.0,35869.0
D55696_at,20.0,20.0,41.0,20.0
D55716_at,5086.0,1391.0,4589.0,1378.0
D56495_at,2218.0,3601.0,3301.0,1744.0
D59253_at,14.0,9.0,20.0,20.0
D61380_at,13761.0,7272.0,17204.0,16625.0
D61391_at,2147.0,1909.0,600.0,774.0
D63134_at,20.0,20.0,20.0,20.0
D63135_at,2393.0,3012.0,3945.0,1943.0
